Ticker,Company,Sector,Industry,Close_2014-12-09,Close_2014-12-23,Close_2015-02-05,Close_2015-04-09,Close_2015-10-30,Close_2016-07-19,Close_2016-09-05,Close_2017-07-27,Close_2022-11-04,Close_2024-11-07,Close_2024-12-19,Close_2025-02-17,Close_2025-02-18,Close_2025-02-19,Close_2025-02-20,Close_2025-02-21,Close_2025-02-24,Close_2025-02-25,Close_2025-02-26,Close_2025-02-27,Close_2025-03-04,Close_2025-04-01,Close_2025-04-30,Close_2025-05-14,Close_2025-05-19,Close_2025-05-23,Close_2025-06-09,Close_2025-06-10,Close_2025-06-11,Close_2025-06-12,Close_2025-06-13,Close_2025-06-16,Close_2025-06-17,Close_2025-06-18,Close_2025-06-19,Close_2025-06-20,Close_2025-08-05,Close_2025-12-02,Close_2026-01-22,Close_2026-01-23,Close_2026-01-28,Close_2026-01-29,Close_2026-01-30,Close_2026-02-02,Close_2026-02-03,Close_2026-02-04,Close_2026-02-05,Close_2026-02-06,Close_2026-02-09,Close_2026-02-10,Close_2026-02-11,Close_2026-02-12,Close_2026-02-13,Close_2026-02-16,Close_2026-02-17,Close_2026-02-18,Close_2026-02-19,Close_2026-02-20,Close_2026-02-23,Close_2026-02-24,Close_2026-02-25,Close_2026-02-26,Close_2026-02-27,Close_2026-03-02,Close_2026-03-03,Close_2026-03-04,Close_2026-03-05,Volume_2014-12-09,Volume_2014-12-23,Volume_2015-02-05,Volume_2015-04-09,Volume_2015-10-30,Volume_2016-07-19,Volume_2016-09-05,Volume_2017-07-27,Volume_2022-11-04,Volume_2024-11-07,Volume_2024-12-19,Volume_2025-02-17,Volume_2025-02-18,Volume_2025-02-19,Volume_2025-02-20,Volume_2025-02-21,Volume_2025-02-24,Volume_2025-02-25,Volume_2025-02-26,Volume_2025-02-27,Volume_2025-03-04,Volume_2025-04-01,Volume_2025-04-30,Volume_2025-05-14,Volume_2025-05-19,Volume_2025-05-23,Volume_2025-06-09,Volume_2025-06-10,Volume_2025-06-11,Volume_2025-06-12,Volume_2025-06-13,Volume_2025-06-16,Volume_2025-06-17,Volume_2025-06-18,Volume_2025-06-19,Volume_2025-06-20,Volume_2025-08-05,Volume_2025-12-02,Volume_2026-01-22,Volume_2026-01-23,Volume_2026-01-28,Volume_2026-01-29,Volume_2026-01-30,Volume_2026-02-02,Volume_2026-02-03,Volume_2026-02-04,Volume_2026-02-05,Volume_2026-02-06,Volume_2026-02-09,Volume_2026-02-10,Volume_2026-02-11,Volume_2026-02-12,Volume_2026-02-13,Volume_2026-02-16,Volume_2026-02-17,Volume_2026-02-18,Volume_2026-02-19,Volume_2026-02-20,Volume_2026-02-23,Volume_2026-02-24,Volume_2026-02-25,Volume_2026-02-26,Volume_2026-02-27,Volume_2026-03-02,Volume_2026-03-03,Volume_2026-03-04,Volume_2026-03-05
ABSA,Absa Bank Kenya Plc,Financials,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.45,28.3,29.1,29.5,30.95,32.2,32.1,32.05,30.0,29.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,311251.0,414021.0,564452.0,2435843.0,588603.0,1543114.0,339794.0,250471.0,5917798.0,1097815.0
BAMB,Bamburi Cement Limited,Industrials,—,,,,,,,,,,,,57.25,57.25,57.25,57.0,56.5,57.5,57.25,56.5,56.5,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,4100.0,6000.0,7800.0,1600.0,4000.0,4200.0,6300.0,60000.0,,,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAT,British American Tobacco Kenya,Consumer Goods,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,515.0,521.0,525.0,526.0,538.0,567.0,570.0,570.0,566.0,563.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79828.0,3440.0,8038.0,21720.0,2017.0,45284.0,19454.0,48757.0,20336.0,42335.0
BRIT,Britam Holdings Limited,Financials,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9,11.75,11.1,11.7,12.6,12.95,12.75,12.2,11.9,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105950.0,180884.0,230893.0,147223.0,145829.0,143258.0,70240.0,116636.0,357338.0,132675.0
CIC,CIC Insurance Group Limited,Financials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,6.14,5.04,5.26,5.2,5.36,5.34,5.28,5.18,4.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952841.0,685081.0,1680235.0,672965.0,399293.0,965297.0,644784.0,343842.0,447439.0,272971.0
COOP,Co-operative Bank of Kenya Limited,Financials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.05,29.2,29.0,29.0,29.0,29.2,30.55,31.0,30.45,29.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161775.0,247415.0,556511.0,3894497.0,4284843.0,2900214.0,272117.0,931615.0,1262638.0,835689.0
DTK,Diamond Trust Bank Kenya Limited,Financials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.5,153.25,154.0,158.25,158.25,154.75,158.0,157.5,155.25,155.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182661.0,138945.0,50952.0,55749.0,41562.0,79286.0,19353.0,57508.0,181484.0,11391.0
EABL,East African Breweries Limited,Consumer Goods,Beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.5,249.25,250.75,250.5,255.25,259.5,268.75,266.0,257.25,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98523.0,29668.0,119475.0,94009.0,13334.0,398036.0,462253.0,9156.0,6703.0,348291.0
EQTY,Equity Group Holdings Limited,Financials,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.25,73.75,74.5,76.5,76.5,77.25,77.25,76.75,74.5,74.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432171.0,1631426.0,5820316.0,6246389.0,4223133.0,2978280.0,5460479.0,5775493.0,4151143.0,4721493.0
IMH,I&M Holdings Plc,Financials,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.35,48.1,48.95,49.1,50.0,51.0,49.55,50.25,49.75,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315332.0,1432085.0,1181609.0,479737.0,2142054.0,512480.0,2655826.0,187671.0,275981.0,316122.0
JUB,Jubilee Holdings Limited,Financials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,353.75,359.0,363.5,366.75,366.75,373.25,374.5,380.0,378.25,375.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262.0,4691.0,771.0,743.0,305.0,835.0,1006.0,1699.0,1102.0,7050.0
KCB,KCB Group,Financials,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.75,75.0,75.0,75.5,77.0,80.25,77.75,77.5,75.0,74.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1289554.0,2925085.0,3274656.0,1286868.0,2714790.0,1062307.0,312007.0,2194884.0,1582237.0,997937.0
KPLC,Kenya Power & Lighting Company,Utilities,Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.25,17.15,17.4,17.7,18.4,18.5,18.3,17.85,17.3,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2226421.0,2049342.0,1254911.0,1178593.0,786136.0,1165595.0,837681.0,1972072.0,1468872.0,710922.0
KQ,Kenya Airways Limited,Industrials,Aviation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.16,5.52,5.56,5.72,5.62,5.6,5.26,4.92,4.51,4.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391934.0,37940179.0,32071165.0,403663.0,4895223.0,6898057.0,3768418.0,487883.0,700929.0,1579281.0
