Ticker,Company,Sector,Industry,Close_2014-12-09,Close_2014-12-23,Close_2015-02-05,Close_2015-04-09,Close_2015-10-30,Close_2016-07-19,Close_2016-09-05,Close_2017-07-27,Close_2022-11-04,Close_2024-11-07,Close_2024-12-19,Close_2025-02-17,Close_2025-02-18,Close_2025-02-19,Close_2025-02-20,Close_2025-02-21,Close_2025-02-24,Close_2025-02-25,Close_2025-02-26,Close_2025-02-27,Close_2025-03-04,Close_2025-04-01,Close_2025-04-30,Close_2025-05-14,Close_2025-05-19,Close_2025-05-23,Close_2025-06-09,Close_2025-06-10,Close_2025-06-11,Close_2025-06-12,Close_2025-06-13,Close_2025-06-16,Close_2025-06-17,Close_2025-06-18,Close_2025-06-19,Close_2025-06-20,Close_2025-08-05,Close_2025-12-02,Close_2026-01-22,Close_2026-01-23,Close_2026-01-28,Close_2026-01-29,Close_2026-01-30,Close_2026-02-02,Close_2026-02-03,Close_2026-02-04,Close_2026-02-05,Close_2026-02-06,Close_2026-02-09,Close_2026-02-10,Close_2026-02-11,Close_2026-02-12,Close_2026-02-13,Close_2026-02-16,Close_2026-02-17,Close_2026-02-18,Close_2026-02-19,Close_2026-02-20,Close_2026-02-23,Close_2026-02-24,Close_2026-02-25,Close_2026-02-26,Close_2026-02-27,Close_2026-03-02,Close_2026-03-03,Close_2026-03-04,Close_2026-03-05,Close_2026-03-06,Close_2026-03-09,Close_2026-03-10,Close_2026-03-11,Volume_2014-12-09,Volume_2014-12-23,Volume_2015-02-05,Volume_2015-04-09,Volume_2015-10-30,Volume_2016-07-19,Volume_2016-09-05,Volume_2017-07-27,Volume_2022-11-04,Volume_2024-11-07,Volume_2024-12-19,Volume_2025-02-17,Volume_2025-02-18,Volume_2025-02-19,Volume_2025-02-20,Volume_2025-02-21,Volume_2025-02-24,Volume_2025-02-25,Volume_2025-02-26,Volume_2025-02-27,Volume_2025-03-04,Volume_2025-04-01,Volume_2025-04-30,Volume_2025-05-14,Volume_2025-05-19,Volume_2025-05-23,Volume_2025-06-09,Volume_2025-06-10,Volume_2025-06-11,Volume_2025-06-12,Volume_2025-06-13,Volume_2025-06-16,Volume_2025-06-17,Volume_2025-06-18,Volume_2025-06-19,Volume_2025-06-20,Volume_2025-08-05,Volume_2025-12-02,Volume_2026-01-22,Volume_2026-01-23,Volume_2026-01-28,Volume_2026-01-29,Volume_2026-01-30,Volume_2026-02-02,Volume_2026-02-03,Volume_2026-02-04,Volume_2026-02-05,Volume_2026-02-06,Volume_2026-02-09,Volume_2026-02-10,Volume_2026-02-11,Volume_2026-02-12,Volume_2026-02-13,Volume_2026-02-16,Volume_2026-02-17,Volume_2026-02-18,Volume_2026-02-19,Volume_2026-02-20,Volume_2026-02-23,Volume_2026-02-24,Volume_2026-02-25,Volume_2026-02-26,Volume_2026-02-27,Volume_2026-03-02,Volume_2026-03-03,Volume_2026-03-04,Volume_2026-03-05,Volume_2026-03-06,Volume_2026-03-09,Volume_2026-03-10,Volume_2026-03-11
ABSA,Absa Bank Kenya Plc,Financials,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.95,32.2,32.1,32.05,30.0,29.55,30.15,30.05,30.35,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,588603.0,1543114.0,339794.0,250471.0,5917798.0,1097815.0,594426.0,2875690.0,182406.0,266154.0
BAMB,Bamburi Cement Limited,Industrials,—,,,,,,,,,,,,57.25,57.25,57.25,57.0,56.5,57.5,57.25,56.5,56.5,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.0,4100.0,6000.0,7800.0,1600.0,4000.0,4200.0,6300.0,60000.0,,,,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAT,British American Tobacco Kenya,Consumer Goods,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.0,567.0,570.0,570.0,566.0,563.0,555.0,548.0,541.0,541.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017.0,45284.0,19454.0,48757.0,20336.0,42335.0,12203.0,48513.0,27277.0,140604.0
BRIT,Britam Holdings Ltd,Financials,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.6,12.95,12.75,12.2,11.9,11.7,11.6,11.75,11.95,12.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145829.0,143258.0,70240.0,116636.0,357338.0,132675.0,146190.0,83992.0,373122.0,100330.0
CIC,CIC Insurance Group Ltd,Financials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2,5.36,5.34,5.28,5.18,4.85,4.91,5.06,4.98,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399293.0,965297.0,644784.0,343842.0,447439.0,272971.0,346139.0,533637.0,205812.0,352204.0
COOP,Co-operative Bank of Kenya Limited,Financials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.05,,29.0,29.0,29.0,29.2,30.55,31.0,30.45,29.85,30.0,29.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161775.0,,556511.0,3894497.0,4284843.0,2900214.0,272117.0,931615.0,1262638.0,835689.0,392736.0,496641.0,,
DTK,Diamond Trust Bank Kenya Ltd,Financials,—,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.25,154.75,158.0,157.5,155.25,155.25,157.0,156.75,156.75,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41562.0,79286.0,19353.0,57508.0,181484.0,11391.0,55912.0,127931.0,50082.0,650192.0
EABL,East African Breweries Ltd,Consumer Goods,Beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.25,259.5,268.75,266.0,257.25,250.0,256.0,255.25,255.0,259.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13334.0,398036.0,462253.0,9156.0,6703.0,348291.0,6859.0,42057.0,280378.0,287375.0
EQTY,Equity Group Holdings Ltd,Financials,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.25,,,,76.5,77.25,77.25,76.75,74.5,74.5,74.5,74.0,74.0,75.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432171.0,,,,4223133.0,2978280.0,5460479.0,5775493.0,4151143.0,4721493.0,4114650.0,3284476.0,4808702.0,3652097.0
IMH,I&M Holdings Plc,Financials,Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,51.0,49.55,50.25,49.75,49.6,49.55,49.05,49.1,49.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2142054.0,512480.0,2655826.0,187671.0,275981.0,316122.0,644329.0,1408332.0,699649.0,65833.0
